stratum,years,no_of_years,species,percent_change_yr_density,lcl95_d,ucl95_d,f_density_trend,no_of_detections,percent_change_yr_occupancy,lcl95_occ,ucl95_occ,f_occupancy_trend,no_of_points,start_year,end_year,n_years_verify,stratum_name,stratum_short_code,order,d_t,d_n_p,o_t,o_t_p,narrative_single
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Common Nighthawk,5.3757885229999998,-12.71,31.34,0.68085106399999995,16,2.359257984,-13.71,25.07,0.574468085,6,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,5.38,estimated an uncertain,2.36,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 5.38% [95% CL -12.71%, 31.34%, (n=16, f=0.681)] per year and estimated an uncertain median occupancy trend of 2.36% [95% CL -13.71%, 25.07%, (n=6, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Common Nighthawk,11.59357657,-12.47,46.95,0.79361702099999998,2,5.825227575,-13.2,29.09,0.668085106,2,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,11.59,estimated an uncertain,5.83,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 11.59% [95% CL -12.47%, 46.95%, (n=2, f=0.794)] per year and estimated an uncertain median occupancy trend of 5.83% [95% CL -13.2%, 29.09%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Common Poorwill,4.3104004829999996,-12.02,26.94,0.64814814799999998,3,7.429654105,-11.7,31.5,0.733463035,2,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,4.31,estimated an uncertain,7.43,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 4.31% [95% CL -12.02%, 26.94%, (n=3, f=0.648)] per year and estimated an uncertain median occupancy trend of 7.43% [95% CL -11.7%, 31.5%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Common Yellowthroat,6.0730782139999997,-28.54,50.43,0.623636364,2,8.42135409,-22.9,60.18,0.663333333,2,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,6.07,estimated an uncertain,8.42,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 6.07% [95% CL -28.54%, 50.43%, (n=2, f=0.624)] per year and estimated an uncertain median occupancy trend of 8.42% [95% CL -22.9%, 60.18%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Common Yellowthroat,8.4185813629999995,-20.2,60.1,0.66545454500000001,1,7.892344124,-23.81,50.96,0.628333333,0,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,8.42,estimated an uncertain,7.89,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 8.42% [95% CL -20.2%, 60.1%, (n=1, f=0.665)] per year and estimated an uncertain median occupancy trend of 7.89% [95% CL -23.81%, 50.96%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Common Yellowthroat,0.33216610400000002,-28.94,42.62,0.51818181799999996,9,2.908724542,-28.67,53.68,0.543333333,3,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,0.33,estimated an uncertain,2.91,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 0.33% [95% CL -28.94%, 42.62%, (n=9, f=0.518)] per year and estimated an uncertain median occupancy trend of 2.91% [95% CL -28.67%, 53.68%, (n=3, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Common Yellowthroat,-25.444759749999999,-42.58,-2.41,0.98909090899999996,35,-13.35116499,-34.28,11.27,0.861666667,15,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-25.44,estimated a decreasing,-13.35,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated a decreasing median density population trend of -25.44% [95% CL -42.58%, -2.41%, (n=35, f=0.989)] per year and estimated an uncertain median occupancy trend of -13.35% [95% CL -34.28%, 11.27%, (n=15, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Double-crested Cormorant,8.0694701749999993,-27.27,48.11,0.63617021299999998,1,3.750999312,-23.14,45.66,0.577777778,1,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,8.07,estimated an uncertain,3.75,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 8.07% [95% CL -27.27%, 48.11%, (n=1, f=0.636)] per year and estimated an uncertain median occupancy trend of 3.75% [95% CL -23.14%, 45.66%, (n=1, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Double-crested Cormorant,18.501360869999999,-12.8,63.55,0.85106382999999997,3,12.69769255,-16.79,57.63,0.773333333,2,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,18.5,estimated an uncertain,12.7,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 18.5% [95% CL -12.8%, 63.55%, (n=3, f=0.851)] per year and estimated an uncertain median occupancy trend of 12.7% [95% CL -16.79%, 57.63%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Dark-eyed Junco,-15.65814557,-44.21,13.77,0.85833333300000003,7,-10.88501879,-40.69,25.91,0.752727273,5,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-15.66,estimated an uncertain,-10.89,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of -15.66% [95% CL -44.21%, 13.77%, (n=7, f=0.858)] per year and estimated an uncertain median occupancy trend of -10.89% [95% CL -40.69%, 25.91%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Dark-eyed Junco,-11.931542110000001,-42.66,25.62,0.78,1,-5.818646037,-35.85,38.42,0.630909091,1,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-11.93,estimated an uncertain,-5.82,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of -11.93% [95% CL -42.66%, 25.62%, (n=1, f=0.78)] per year and estimated an uncertain median occupancy trend of -5.82% [95% CL -35.85%, 38.42%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Dickcissel,27.113615459999998,-19.3,91.92,0.84799999999999998,30,16.8671765,-26.39,89.11,0.753846154,9,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,27.11,estimated an uncertain,16.87,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 27.11% [95% CL -19.3%, 91.92%, (n=30, f=0.848)] per year and estimated an uncertain median occupancy trend of 16.87% [95% CL -26.39%, 89.11%, (n=9, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Dickcissel,31.13773286,-15.52,115.81,0.89,8,18.57207412,-23.7,91.63,0.778846154,3,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,31.14,estimated an uncertain,18.57,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 31.14% [95% CL -15.52%, 115.81%, (n=8, f=0.89)] per year and estimated an uncertain median occupancy trend of 18.57% [95% CL -23.7%, 91.63%, (n=3, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Dickcissel,36.23385777,-7.82,116.58,0.93,39,25.56728762,-14.55,107.4,0.859615385,17,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,36.23,estimated a increasing,25.57,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated a increasing median density population trend of 36.23% [95% CL -7.82%, 116.58%, (n=39, f=0.93)] per year and estimated an uncertain median occupancy trend of 25.57% [95% CL -14.55%, 107.4%, (n=17, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Dickcissel,25.301262609999998,-13.35,86.38,0.86,23,21.78695263,-17.19,78.24,0.813461538,10,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,25.3,estimated an uncertain,21.79,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 25.3% [95% CL -13.35%, 86.38%, (n=23, f=0.86)] per year and estimated an uncertain median occupancy trend of 21.79% [95% CL -17.19%, 78.24%, (n=10, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Dickcissel,42.07733795,-4.19,125.52,0.94799999999999995,6,28.70047614,-10.6,101.34,0.892307692,4,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,42.08,estimated a increasing,28.7,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated a increasing median density population trend of 42.08% [95% CL -4.19%, 125.52%, (n=6, f=0.948)] per year and estimated an uncertain median occupancy trend of 28.7% [95% CL -10.6%, 101.34%, (n=4, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Dickcissel,17.76063091,-21.08,68.09,0.78600000000000003,31,10.77443841,-20.07,77.08,0.713461538,19,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,17.76,estimated an uncertain,10.77,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 17.76% [95% CL -21.08%, 68.09%, (n=31, f=0.786)] per year and estimated an uncertain median occupancy trend of 10.77% [95% CL -20.07%, 77.08%, (n=19, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Downy Woodpecker,-9.2212787939999998,-31.79,17.45,0.83137254900000002,3,-6.033128168,-26.94,16.8,0.713333333,3,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-9.22,estimated an uncertain,-6.03,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of -9.22% [95% CL -31.79%, 17.45%, (n=3, f=0.831)] per year and estimated an uncertain median occupancy trend of -6.03% [95% CL -26.94%, 16.8%, (n=3, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Downy Woodpecker,-2.8517678399999999,-22.72,24.12,0.63137254899999995,10,-0.765123152,-20.95,24.81,0.555555556,6,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-2.85,estimated an uncertain,-0.77,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of -2.85% [95% CL -22.72%, 24.12%, (n=10, f=0.631)] per year and estimated an uncertain median occupancy trend of -0.77% [95% CL -20.95%, 24.81%, (n=6, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Downy Woodpecker,-4.3434385669999998,-25.96,20.44,0.67647058800000004,2,-2.471556847,-22.75,24.09,0.606666667,2,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-4.34,estimated an uncertain,-2.47,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -4.34% [95% CL -25.96%, 20.44%, (n=2, f=0.676)] per year and estimated an uncertain median occupancy trend of -2.47% [95% CL -22.75%, 24.09%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Dusky Flycatcher,-3.6135914229999999,-21.65,17.72,0.7,1,-5.090719285,-26.28,19.88,0.719409283,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-3.61,estimated an uncertain,-5.09,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of -3.61% [95% CL -21.65%, 17.72%, (n=1, f=0.7)] per year and estimated an uncertain median occupancy trend of -5.09% [95% CL -26.28%, 19.88%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Dusky Flycatcher,-5.8046461919999999,-25.73,16.95,0.72452830199999996,1,-6.549695355,-26.61,16.93,0.76371308,1,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-5.8,estimated an uncertain,-6.55,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of -5.8% [95% CL -25.73%, 16.95%, (n=1, f=0.725)] per year and estimated an uncertain median occupancy trend of -6.55% [95% CL -26.61%, 16.93%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Eastern Bluebird,-26.30654049,-41.53,-7.96,0.99615384600000001,37,-19.67259299,-38.4,-0.17,0.982222222,18,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-26.31,estimated a decreasing,-19.67,estimated a decreasing,"Oglala National Grassland (NE-BCR18-GG) estimated a decreasing median density population trend of -26.31% [95% CL -41.53%, -7.96%, (n=37, f=0.996)] per year and estimated a decreasing median occupancy trend of -19.67% [95% CL -38.4%, -0.17%, (n=18, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Eastern Bluebird,-13.83354516,-28.84,4.26,0.94615384599999997,47,-16.83702367,-29.88,0.74,0.977777778,30,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-13.83,estimated a decreasing,-16.84,estimated a decreasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated a decreasing median density population trend of -13.83% [95% CL -28.84%, 4.26%, (n=47, f=0.946)] per year and estimated a decreasing median occupancy trend of -16.84% [95% CL -29.88%, 0.74%, (n=30, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Eastern Bluebird,3.3606305409999999,-25.65,54.28,0.54615384600000005,7,6.389866373,-24.38,60.45,0.626666667,5,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,3.36,estimated an uncertain,6.39,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 3.36% [95% CL -25.65%, 54.28%, (n=7, f=0.546)] per year and estimated an uncertain median occupancy trend of 6.39% [95% CL -24.38%, 60.45%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Eastern Bluebird,8.4914209950000004,-22.79,56.7,0.65576923099999995,2,8.946337088,-22.23,57.01,0.664444444,2,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,8.49,estimated an uncertain,8.95,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 8.49% [95% CL -22.79%, 56.7%, (n=2, f=0.656)] per year and estimated an uncertain median occupancy trend of 8.95% [95% CL -22.23%, 57.01%, (n=2, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Eastern Bluebird,9.3180629229999994,-18.65,59.66,0.66538461500000001,1,8.057201163,-24.89,58.79,0.671111111,0,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,9.32,estimated an uncertain,8.06,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 9.32% [95% CL -18.65%, 59.66%, (n=1, f=0.665)] per year and estimated an uncertain median occupancy trend of 8.06% [95% CL -24.89%, 58.79%, (n=0, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Eastern Bluebird,-1.0966339789999999,-28.26,29.66,0.56730769199999997,2,-0.915451989,-30.19,37.3,0.531111111,2,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-1.1,estimated an uncertain,-0.92,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of -1.1% [95% CL -28.26%, 29.66%, (n=2, f=0.567)] per year and estimated an uncertain median occupancy trend of -0.92% [95% CL -30.19%, 37.3%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Eared Grebe,8.0715192679999994,-13.69,40.44,0.72799999999999998,1,7.45244092,-14.87,38.55,0.734042553,1,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,8.07,estimated an uncertain,7.45,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 8.07% [95% CL -13.69%, 40.44%, (n=1, f=0.728)] per year and estimated an uncertain median occupancy trend of 7.45% [95% CL -14.87%, 38.55%, (n=1, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Eared Grebe,8.6956557360000009,-12.52,39.4,0.72599999999999998,1,9.04546166,-14.44,38.1,0.742553191,1,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,8.7,estimated an uncertain,9.05,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 8.7% [95% CL -12.52%, 39.4%, (n=1, f=0.726)] per year and estimated an uncertain median occupancy trend of 9.05% [95% CL -14.44%, 38.1%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Eastern Kingbird,5.6702841880000001,-10.87,24.73,0.66153846199999999,27,3.501284215,-11.69,21.53,0.631914894,16,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,5.67,estimated an uncertain,3.5,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 5.67% [95% CL -10.87%, 24.73%, (n=27, f=0.662)] per year and estimated an uncertain median occupancy trend of 3.5% [95% CL -11.69%, 21.53%, (n=16, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Eastern Kingbird,13.43068235,-2.27,40.24,0.94230769199999997,92,14.25216429,-1.41,34.84,0.946808511,58,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,13.43,estimated a increasing,14.25,estimated a increasing,"Oglala National Grassland (NE-BCR18-GG) estimated a increasing median density population trend of 13.43% [95% CL -2.27%, 40.24%, (n=92, f=0.942)] per year and estimated a increasing median occupancy trend of 14.25% [95% CL -1.41%, 34.84%, (n=58, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Eastern Kingbird,10.24460966,-5.94,30.78,0.86346153800000003,113,12.3681105,-1.7,31.35,0.931914894,78,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,10.24,estimated an uncertain,12.37,estimated a increasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 10.24% [95% CL -5.94%, 30.78%, (n=113, f=0.863)] per year and estimated a increasing median occupancy trend of 12.37% [95% CL -1.7%, 31.35%, (n=78, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Eastern Kingbird,7.8281938440000003,-8.63,29.19,0.75961538500000003,21,5.118718806,-12.01,25.63,0.689361702,15,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,7.83,estimated an uncertain,5.12,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 7.83% [95% CL -8.63%, 29.19%, (n=21, f=0.76)] per year and estimated an uncertain median occupancy trend of 5.12% [95% CL -12.01%, 25.63%, (n=15, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Eastern Kingbird,3.7942249220000002,-12.31,18.99,0.63846153800000005,47,5.436171744,-8.43,24.32,0.712765957,32,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,3.79,estimated an uncertain,5.44,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 3.79% [95% CL -12.31%, 18.99%, (n=47, f=0.638)] per year and estimated an uncertain median occupancy trend of 5.44% [95% CL -8.43%, 24.32%, (n=32, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Eastern Kingbird,7.9767941049999997,-15.71,38.78,0.70961538499999999,8,8.042145968,-11.86,34.69,0.725531915,6,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,7.98,estimated an uncertain,8.04,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 7.98% [95% CL -15.71%, 38.78%, (n=8, f=0.71)] per year and estimated an uncertain median occupancy trend of 8.04% [95% CL -11.86%, 34.69%, (n=6, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Eastern Kingbird,6.3873499130000004,-7.8,25.97,0.76730769200000004,41,10.64801803,-4.59,28.23,0.876595745,28,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,6.39,estimated an uncertain,10.65,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 6.39% [95% CL -7.8%, 25.97%, (n=41, f=0.767)] per year and estimated an uncertain median occupancy trend of 10.65% [95% CL -4.59%, 28.23%, (n=28, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Eastern Phoebe,11.1377431,-10.52,47.87,0.81063829799999998,1,4.902228942,-17.9,41.14,0.617021277,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,11.14,estimated an uncertain,4.9,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 11.14% [95% CL -10.52%, 47.87%, (n=1, f=0.811)] per year and estimated an uncertain median occupancy trend of 4.9% [95% CL -17.9%, 41.14%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Eastern Phoebe,10.417891880000001,-13.14,45.18,0.76595744700000001,1,6.724845435,-18.74,39.92,0.670212766,0,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,10.42,estimated an uncertain,6.72,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 10.42% [95% CL -13.14%, 45.18%, (n=1, f=0.766)] per year and estimated an uncertain median occupancy trend of 6.72% [95% CL -18.74%, 39.92%, (n=0, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Eastern Phoebe,10.55338373,-11.18,46.12,0.79787233999999996,1,6.750407272,-23.3,40.09,0.670212766,0,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,10.55,estimated an uncertain,6.75,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 10.55% [95% CL -11.18%, 46.12%, (n=1, f=0.798)] per year and estimated an uncertain median occupancy trend of 6.75% [95% CL -23.3%, 40.09%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Eastern Towhee,13.86669927,-21.36,61.99,0.77,1,4.499135089,-26.59,48.06,0.603333333,1,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,13.87,estimated an uncertain,4.5,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 13.87% [95% CL -21.36%, 61.99%, (n=1, f=0.77)] per year and estimated an uncertain median occupancy trend of 4.5% [95% CL -26.59%, 48.06%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Eastern Wood-Pewee,4.0680781699999997,-24.28,41,0.590909091,1,2.763739867,-26.47,37.44,0.548,0,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,4.07,estimated an uncertain,2.76,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 4.07% [95% CL -24.28%, 41%, (n=1, f=0.591)] per year and estimated an uncertain median occupancy trend of 2.76% [95% CL -26.47%, 37.44%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Eurasian Collared-Dove,18.496133459999999,-11.33,67.84,0.84399999999999997,7,19.71144183,-7.52,57.55,0.907272727,0,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,18.5,estimated an uncertain,19.71,estimated a increasing,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 18.5% [95% CL -11.33%, 67.84%, (n=7, f=0.844)] per year and estimated a increasing median occupancy trend of 19.71% [95% CL -7.52%, 57.55%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Eurasian Collared-Dove,18.930005319999999,-14.88,65.61,0.85399999999999998,7,19.11105859,-8.84,62.78,0.881818182,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,18.93,estimated an uncertain,19.11,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 18.93% [95% CL -14.88%, 65.61%, (n=7, f=0.854)] per year and estimated an uncertain median occupancy trend of 19.11% [95% CL -8.84%, 62.78%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Eurasian Collared-Dove,12.8900542,-16.57,58.76,0.76200000000000001,2,12.59816823,-15.69,52.16,0.761818182,0,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,12.89,estimated an uncertain,12.6,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 12.89% [95% CL -16.57%, 58.76%, (n=2, f=0.762)] per year and estimated an uncertain median occupancy trend of 12.6% [95% CL -15.69%, 52.16%, (n=0, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Eurasian Collared-Dove,11.858310100000001,-16.34,55.77,0.77,2,9.328524714,-18.1,51.82,0.712727273,0,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,11.86,estimated an uncertain,9.33,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 11.86% [95% CL -16.34%, 55.77%, (n=2, f=0.77)] per year and estimated an uncertain median occupancy trend of 9.33% [95% CL -18.1%, 51.82%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,European Starling,28.937542520000001,-2.33,71.68,0.95882352900000001,27,21.58151232,-7.89,61.47,0.931666667,12,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,28.94,estimated a increasing,21.58,estimated a increasing,"Oglala National Grassland (NE-BCR17-LG) estimated a increasing median density population trend of 28.94% [95% CL -2.33%, 71.68%, (n=27, f=0.959)] per year and estimated a increasing median occupancy trend of 21.58% [95% CL -7.89%, 61.47%, (n=12, f=1)] per year from 2013 to 2023"
